<0.0000e+00 0.0000e+00>
<999922.1271456466 3658294.0876870947>
<998378.3377137831 3663366.2581175077>
<996837.1290857254 3668429.7294292254>
<995298.5216965567 3673484.517514248>
<993762.5365362129 3678530.637594451>
<992229.1951706111 3683568.1042453293>
<990698.5197620689 3688596.931420198>
<989170.5330890049 3693617.1324748476>
<987645.2585649146 3698628.720192615>
<986122.7202566109 3703631.706809862>
<984602.9429017269 3708626.104041832>
<983085.9519254717 3713611.923108868>
<981571.7734566359 3718589.1747629684>
<980060.4343428417 3723557.869314663>
<978551.9621650336 3728518.016660181>
<977046.3852512062 3733469.6263088966>
<975543.7326893678 3738412.707411031>
<974044.0343397353 3743347.2687855824>
<972547.3208461615 3748273.3189484747>
<971053.6236467925 3753190.8661408927>
<969562.9749839558 3758099.9183577914>
<968075.4079132784 3763000.483376556>
